RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,Overall_Score
1201-1400,1401+,Technische Universit_ Kaiserslautern,Germany,Europe,L,CO,VH,,6.3,601+,2.4,601+,17,701+,4.6,701+,,,,,56.4,672,2.2,701+,1.1,701+,
1201-1400,1201-1400,"The ""Gheorghe Asachi"" Technical University of Iasi",Romania,Europe,L,SP,VH,A,5.3,601+,9.7,601+,2.4,701+,6,701+,,,4.6,701+,34.1,701+,4,701+,1,701+,
1201-1400,1201-1400,The Herzen State Pedagogical University of Russia,Russia,Europe,L,FO,HI,A,3.8,601+,2,601+,20.1,670,1.2,701+,1.4,701+,41.1,348,12.7,701+,5.5,701+,1,701+,
1201-1400,1201-1400,The Josip Juraj Strossmayer University of Osijek,Croatia,Europe,L,CO,HI,A,4.3,601+,2,601+,28.6,540,3.1,701+,,,,,54,701+,11.2,701+,1,701+,
1201-1400,1201-1400,"The National Research University ""Belgorod State University""",Russia,Europe,L,FC,HI,A,3.5,601+,1.3,601+,15.6,701+,1.9,701+,2.2,701+,49.8,295,21.4,701+,2,701+,1,701+,
1201-1400,1001-1200,Tokai University,Japan,Asia,L,FC,HI,B,10.5,601+,5.8,601+,13.6,701+,2.8,701+,5.6,701+,2.9,701+,24.5,701+,1.8,701+,1.3,701+,
1201-1400,1001-1200,Tomas Bata University in Zlin,Czech Republic,Europe,M,CO,VH,A,4.5,601+,8.4,601+,9.3,701+,5.5,701+,23.6,553,18.8,568,25.8,701+,4,701+,1.1,701+,
1201-1400,1201-1400,Toraighyrov University,Kazakhstan,Asia,M,FO,HI,A,8.5,601+,4.8,601+,17.8,701+,1.2,701+,6.8,701+,3.1,701+,3.9,701+,3.3,701+,1,701+,
1201-1400,1201-1400,Transilvania University of Brasov,Romania,Europe,L,FC,HI,A,6.4,601+,5.5,601+,5.1,701+,3.7,701+,5.4,701+,2.1,701+,48.1,701+,4,701+,1,701+,
1201-1400,1201-1400,Tunghai University,Taiwan,Asia,L,CO,HI,C,6.5,601+,5.4,601+,4.6,701+,5.4,701+,8.4,701+,8.8,701+,24.4,701+,13.8,698,7.9,701+,
