Year,CO2_Emissions
2010,32095872.94
2011,33079721.35
2012,33460087.5
2013,34119894.39
2014,34261369.66
2015,34070176.85
2016,34145652.3
2017,34687837.09
2018,35560555.79
2019,35477245.4
